INFO: 2024/05/13 21:51:59 database.go:36: Successfully connected to database
ERROR: 2024/05/13 21:52:55 fromISBN.go:98: Found 0 books for 9782902123513
ERROR: 2024/05/13 21:53:06 fromISBN.go:98: Found 0 books for 2723403661
ERROR: 2024/05/13 21:53:48 fromISBN.go:98: Found 0 books for 9782908406375
ERROR: 2024/05/13 21:54:33 fromISBN.go:98: Found 0 books for 2000036873805
ERROR: 2024/05/13 21:54:44 fromISBN.go:98: Found 0 books for 9782876871014
ERROR: 2024/05/13 21:54:44 fromISBN.go:98: Found 0 books for 9782876870802
ERROR: 2024/05/13 21:54:45 fromISBN.go:98: Found 0 books for 9782876870703
ERROR: 2024/05/13 21:55:32 fromISBN.go:98: Found 0 books for 2731604174
ERROR: 2024/05/13 21:55:32 fromISBN.go:98: Found 0 books for 2205001345
ERROR: 2024/05/13 21:55:33 fromISBN.go:98: Found 0 books for 2205003364
ERROR: 2024/05/13 21:55:34 fromISBN.go:98: Found 0 books for 2205006940
ERROR: 2024/05/13 21:55:35 fromISBN.go:98: Found 0 books for 9782876950801
ERROR: 2024/05/13 21:55:38 fromISBN.go:98: Found 0 books for 9782870970669
ERROR: 2024/05/13 21:55:38 fromISBN.go:98: Found 0 books for 9782870970683
ERROR: 2024/05/13 21:55:38 fromISBN.go:98: Found 0 books for 9782870972441
ERROR: 2024/05/13 21:55:39 fromISBN.go:98: Found 0 books for 9782870972816
ERROR: 2024/05/13 21:55:41 fromISBN.go:98: Found 0 books for 9782505006930
ERROR: 2024/05/13 21:55:43 fromISBN.go:98: Found 0 books for 2858150132
ERROR: 2024/05/13 21:55:47 fromISBN.go:98: Found 0 books for 9782769302188
ERROR: 2024/05/13 21:55:48 fromISBN.go:98: Found 0 books for 2906794104
ERROR: 2024/05/13 21:55:48 fromISBN.go:98: Found 0 books for 9782876870260
ERROR: 2024/05/13 21:55:49 fromISBN.go:98: Found 0 books for 2876870312
ERROR: 2024/05/13 21:55:51 fromISBN.go:98: Found 0 books for 9782867260483
ERROR: 2024/05/13 21:56:01 fromISBN.go:98: Found 0 books for 2723405214
ERROR: 2024/05/13 21:56:01 fromISBN.go:98: Found 0 books for 9782906187245
ERROR: 2024/05/13 21:56:02 fromISBN.go:98: Found 0 books for 9782906187276
ERROR: 2024/05/13 21:56:04 fromISBN.go:98: Found 0 books for 9782803603831
ERROR: 2024/05/13 21:56:19 fromISBN.go:98: Found 0 books for 9782205063684
ERROR: 2024/05/13 21:56:20 fromISBN.go:98: Found 0 books for 9782205063691
ERROR: 2024/05/13 21:56:22 fromISBN.go:98: Found 0 books for 2800110317
ERROR: 2024/05/13 21:56:23 fromISBN.go:98: Found 0 books for 9782723442541
ERROR: 2024/05/13 21:56:24 fromISBN.go:98: Found 0 books for 9782360810693
ERROR: 2024/05/13 21:56:25 fromISBN.go:98: Found 0 books for 2800108320
ERROR: 2024/05/13 21:56:30 fromISBN.go:98: Found 0 books for 9782877641340
ERROR: 2024/05/13 21:56:36 fromISBN.go:98: Found 0 books for 9782818924426
ERROR: 2024/05/13 21:56:39 fromISBN.go:98: Found 0 books for 9782723409155
ERROR: 2024/05/13 21:56:41 fromISBN.go:98: Found 0 books for 9782876951792
ERROR: 2024/05/13 21:56:43 fromISBN.go:98: Found 0 books for 9782876951914
ERROR: 2024/05/13 21:56:45 fromISBN.go:98: Found 0 books for 9782731604832
ERROR: 2024/05/13 21:56:51 fromISBN.go:98: Found 0 books for 9782803501870
ERROR: 2024/05/13 21:56:52 fromISBN.go:98: Found 0 books for 2874870630
ERROR: 2024/05/13 21:56:54 fromISBN.go:98: Found 0 books for 9791091074001
ERROR: 2024/05/13 21:56:55 fromISBN.go:98: Found 0 books for 2871420165
ERROR: 2024/05/13 21:56:56 fromISBN.go:98: Found 0 books for 9078280011469
ERROR: 2024/05/13 21:56:57 fromISBN.go:98: Found 0 books for 2884712119
ERROR: 2024/05/13 21:56:58 fromISBN.go:98: Found 0 books for 2800139420
ERROR: 2024/05/13 21:56:59 fromISBN.go:98: Found 0 books for 9782205044447
ERROR: 2024/05/13 21:56:59 fromISBN.go:98: Found 0 books for 2840329109
ERROR: 2024/05/13 21:57:00 fromISBN.go:98: Found 0 books for 284055009
ERROR: 2024/05/13 21:57:04 fromISBN.go:98: Found 0 books for 2205029511
ERROR: 2024/05/13 21:57:05 fromISBN.go:98: Found 0 books for 9782876870208
ERROR: 2024/05/13 21:57:06 fromISBN.go:98: Found 0 books for 9782874870420
ERROR: 2024/05/13 21:57:12 fromISBN.go:98: Found 0 books for 27234119821
ERROR: 2024/05/13 21:57:15 fromISBN.go:98: Found 0 books for 9782818924433
ERROR: 2024/05/13 21:57:17 fromISBN.go:98: Found 0 books for 9782913714670
ERROR: 2024/05/13 21:57:17 fromISBN.go:98: Found 0 books for 9782353251704
ERROR: 2024/05/13 21:57:24 fromISBN.go:98: Found 0 books for 9782723407571
ERROR: 2024/05/13 21:57:28 fromISBN.go:98: Found 0 books for 9782952430616
ERROR: 2024/05/13 21:57:31 fromISBN.go:98: Found 0 books for 5400331000017
ERROR: 2024/05/13 21:57:32 fromISBN.go:98: Found 0 books for 2876870479
