,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782876870703,https://www.justbooks.fr/search/?keywords=9782876870703&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Aliens,1,Aliens 1,ALIEN,o,COMICS,,,,Zenda,1991,,Français,,,https://pictures.abebooks.com/isbn/9782876870703-us-300.jpg,,NaN
9782876870802,https://www.justbooks.fr/search/?keywords=9782876870802&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Aliens,2,Aliens 2,ALIEN,o,COMICS,,,,Zenda,1991,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782876870802-us-300.jpg,,NaN
287687119X,https://www.justbooks.fr/search/?keywords=287687119X&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Aliens,3,Aliens : Guerre pour la Terre,ALIEN,o,COMICS,Verheiden-M+Kieth-S,,,Zenda,1995,Couverture rigide,Francés,,,https://pictures.abebooks.com/isbn/9782876871199-us-300.jpg,,
9782876951150,https://www.justbooks.fr/search/?keywords=9782876951150&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman,,Batman - Les fous d'Arkham - Edition Originale,BATMA,o,COMICS,Grant Morrison,,,Comics USA,1990,Couverture rigide,,,,https://pictures.abebooks.com/isbn/9782876951150-us-300.jpg,"€31,80",NaN
2876951908,https://www.justbooks.fr/search/?keywords=2876951908&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman,,Batman : Predator,BATMA,o,COMICS,,,,,,,français,,,https://pictures.abebooks.com/isbn/9782876951907-us-300.jpg,,
9782876950610,https://www.justbooks.fr/search/?keywords=9782876950610&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman,,Batman : Souriez !,BATMA,o,COMICS,Alan Moore,,,Comics USA,1989,Couverture rigide,Français,,4.37 Note moyenne,https://pictures.abebooks.com/isbn/9782876950610-us-300.jpg,"€31,05",NaN
,,Batman,,Cris dans la nuit,BATMA,o,COMICS,,"Goodwin, Archie","Hampton, Scott",,,,,,,,,
9782876951914,https://www.justbooks.fr/search/?keywords=9782876951914&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman versus Judge Dredd,,Batman versus Judge Dredd : Mégacity Blues,BATMA,o,COMICS,,,,Comics USA,1992,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782876951914-us-300.jpg,"€32,88",NaN
9782876951792,https://www.justbooks.fr/search/?keywords=9782876951792&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman versus Judge Dredd,,"Batman versus Judge Dredd, tome 1 : Jugement à Gotham",BATMA,o,COMICS,,,,Comics USA,1992,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782876951792-us-300.jpg,,NaN
2876952084,https://www.justbooks.fr/search/?keywords=2876952084&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman,,Sword of Azraël,BATMA,o,COMICS,,,,,,Couverture souple,français,,,https://pictures.abebooks.com/isbn/9782876952089-us-300.jpg,,
2876870185,https://www.justbooks.fr/search/?keywords=2876870185&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman - Dark Knight,1,Batman: Dark Knight 1,BATMA,o,COMICS,Frank Miller; Klaus Janson; Lynn Varley,,,Zenda Editions,1989,Couverture souple,français,,4.26 Note moyenne,https://pictures.abebooks.com/isbn/9782876870185-us-300.jpg,"€22,99",
9782876870260,https://www.justbooks.fr/search/?keywords=9782876870260&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman - Dark Knight,2,Batman: Dark Knight 2,BATMA,o,COMICS,MILLER,,,VENTS D'OUEST,2070,,français,,,https://pictures.abebooks.com/isbn/9782876870260-us-300.jpg,"€13,32",NaN
2876870282,https://www.justbooks.fr/search/?keywords=2876870282&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Batman - Dark Knight,3,Batman: Dark Knight 3,BATMA,o,COMICS,Miller Frank,,,Zenda,1989,Couverture rigide,,,,https://pictures.abebooks.com/isbn/9782876870284-us-300.jpg,,
,,Batman - Dark Knight,4,Batman: Dark Knight 4,BATMA,o,COMICS,,,,,,,,,,,,
,,Martha Washington,2,Martha Washington goes to War ?,MARTH,o,COMICS,,"Miller, Frank","Gibbons, Dave",,,,,,,,,
9782876950986,https://www.justbooks.fr/search/?keywords=9782876950986&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Elektra,,Elektra : le retour,ELEKT,o,COMICS,,,,Comics USA,1991,Couverture rigide,Français,,3.77 Note moyenne,https://pictures.abebooks.com/isbn/9782876950986-us-300.jpg,"€12,98",NaN
9782906187245,https://www.justbooks.fr/search/?keywords=9782906187245&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Elektra,1,"Elektra, tome 1",ELEKT,o,COMICS,Miller; Sienkiewicz,,,Delcourt,1993,Couverture rigide,Français,,3.94 Note moyenne,https://pictures.abebooks.com/isbn/9782906187245-us-300.jpg,,NaN
9782906187252,https://www.justbooks.fr/search/?keywords=9782906187252&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Elektra,2,"Elektra, tome 2",ELEKT,o,COMICS,Frank Miller,,,Delcourt,1989,Couverture rigide,,,,https://pictures.abebooks.com/isbn/9782906187252-us-300.jpg,,NaN
9782906187269,https://www.justbooks.fr/search/?keywords=9782906187269&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Elektra,3,"Elektra, tome 3",ELEKT,o,COMICS,Frank Miller,,,Delcourt,1989,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782906187269-us-300.jpg,"€8,81",NaN
9782906187276,https://www.justbooks.fr/search/?keywords=9782906187276&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Elektra,4,"Elektra, tome 4",ELEKT,o,COMICS,Frank Miller,,,Delcourt,1989,Couverture souple,,,,https://pictures.abebooks.com/isbn/9782906187276-us-300.jpg,"€11,83",NaN
9780749316402,https://www.justbooks.fr/search/?keywords=9780749316402&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Judge Dredd,,Judge Dredd: Mechanismo,JUDGE,o,COMICS,"Wagner, John; Grant, Alan",,,Mandarin,1993,Couverture souple,anglais,"Mega-City One is at breaking-point, with iso-block break-outs and violent crime on the rise. The Judges are operating below normal strength. Cadets are being rushed into service before they are ready, and dying before their time. Judge Desmon Stich believes the solution is mechanoid judges.",3.63 Note moyenne,https://pictures.abebooks.com/isbn/9780749316402-us-300.jpg,"€54,26",NaN
2911033981,https://www.justbooks.fr/search/?keywords=2911033981&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Intégrale,,La League des Gentlemen extraordinaires,LEAGU,o,COMICS,"Moore, Alan; O'Neil, Kevin",,,USA,2001,Couverture rigide,français,,3.94 Note moyenne,https://pictures.abebooks.com/isbn/9782911033988-us-300.jpg,"€22,29",
2876870509,https://www.justbooks.fr/search/?keywords=2876870509&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Liberty, un rêve américain",1,Jungles,LIBER,o,COMICS,,,,,,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782876870505-us-300.jpg,,
2876870517,https://www.justbooks.fr/search/?keywords=2876870517&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Liberty, un rêve américain",2,Déserts,LIBER,o,COMICS,,,,,,Couverture rigide,français,,,https://pictures.abebooks.com/isbn/9782876870512-us-300.jpg,,
2876870614,https://www.justbooks.fr/search/?keywords=2876870614&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Liberty, un rêve américain",3,Forêts,LIBER,o,COMICS,Miller-F+Gibbons-d,,,Zenda,1995,Couverture rigide,Francés,,,https://pictures.abebooks.com/isbn/9782876870611-us-300.jpg,,
2876870630,https://www.justbooks.fr/search/?keywords=2876870630&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,"Liberty, un rêve américain",4,Frontières,LIBER,o,COMICS,,,,,,Couverture rigide,français,Rare book,,https://pictures.abebooks.com/isbn/9782876870635-us-300.jpg,,
