INFO: 2024/04/16 20:19:24 database.go:38: Successfully connected to database
ERROR: 2024/04/16 20:19:55 createauthors.go:41: No author found for 9782203334588
ERROR: 2024/04/16 20:20:04 createauthors.go:41: No author found for 9782203338050
ERROR: 2024/04/16 20:20:07 createauthors.go:35: Found 0 book for 9782203338296
ERROR: 2024/04/16 20:20:13 createauthors.go:35: Found 0 book for 9782203343184
ERROR: 2024/04/16 20:20:17 createauthors.go:35: Found 0 book for 9782203348035
ERROR: 2024/04/16 20:20:19 createauthors.go:41: No author found for 9782203359109
ERROR: 2024/04/16 20:20:25 createauthors.go:35: Found 0 book for 9782203389892
ERROR: 2024/04/16 20:20:26 createauthors.go:35: Found 0 book for 9782203396111
ERROR: 2024/04/16 20:20:29 createauthors.go:35: Found 0 book for 9782205001105
ERROR: 2024/04/16 20:20:32 createauthors.go:35: Found 0 book for 9782205001570
ERROR: 2024/04/16 20:20:37 createauthors.go:35: Found 0 book for 9782205002300
ERROR: 2024/04/16 20:20:40 createauthors.go:35: Found 0 book for 9782205003949
ERROR: 2024/04/16 20:20:46 createauthors.go:41: No author found for 9782205005967
ERROR: 2024/04/16 20:20:48 createauthors.go:35: Found 0 book for 9782205006506
ERROR: 2024/04/16 20:20:55 createauthors.go:41: No author found for 9782205008340
ERROR: 2024/04/16 20:20:56 createauthors.go:35: Found 0 book for 9782205008791
ERROR: 2024/04/16 20:21:15 createauthors.go:35: Found 0 book for 9782205022537
ERROR: 2024/04/16 20:21:15 createauthors.go:41: No author found for 9782205022544
ERROR: 2024/04/16 20:21:16 createauthors.go:41: No author found for 9782205022841
ERROR: 2024/04/16 20:21:17 createauthors.go:35: Found 0 book for 9782205023893
ERROR: 2024/04/16 20:21:18 createauthors.go:41: No author found for 9782205023992
ERROR: 2024/04/16 20:21:19 createauthors.go:35: Found 0 book for 9782205024159
ERROR: 2024/04/16 20:21:21 createauthors.go:41: No author found for 9782205024982
ERROR: 2024/04/16 20:21:29 createauthors.go:35: Found 0 book for 9782205026573
ERROR: 2024/04/16 20:21:30 createauthors.go:41: No author found for 9782205026597
ERROR: 2024/04/16 20:21:31 createauthors.go:41: No author found for 9782205026627
ERROR: 2024/04/16 20:21:31 createauthors.go:41: No author found for 9782205026740
ERROR: 2024/04/16 20:21:34 createauthors.go:35: Found 0 book for 9782205027440
ERROR: 2024/04/16 20:21:35 createauthors.go:41: No author found for 9782205027464
ERROR: 2024/04/16 20:21:52 createauthors.go:41: No author found for 9782205030457
ERROR: 2024/04/16 20:21:54 createauthors.go:35: Found 0 book for 9782205031027
ERROR: 2024/04/16 20:22:05 createauthors.go:35: Found 0 book for 9782205033311
ERROR: 2024/04/16 20:22:21 createauthors.go:35: Found 0 book for 9782205040678
ERROR: 2024/04/16 20:22:30 createauthors.go:41: No author found for 9782205041309
