,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
,,ONE SHOT,,1996,1996,o,,Chantal Montellier,,,,,,,,,,,
2800117575,https://www.justbooks.fr/search/?keywords=2800117575&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,La 27e lettre,27ELE,o,,Desberg; Will,,,Dupuis,1990,Couverture souple,français,Eastman shelf 11,4.29 Note moyenne,https://pictures.abebooks.com/isbn/9782800117577-us-300.jpg,"€12,15",
9782226031747,https://www.justbooks.fr/search/?keywords=9782226031747&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,38e parallèle,38EPA,o,,Collectif,,,Albin Michel,1992,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782226031747-us-300.jpg,,NaN
2876870916,https://www.justbooks.fr/search/?keywords=2876870916&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,ONE SHOT,,3 jours avant...,3JOUR,o,,VILLOUTREIX CHARLES,,,ZENDA,1991,Couverture souple,français,52pages. in4. Cartonné.,,https://pictures.abebooks.com/isbn/9782876870918-us-300.jpg,,
9782876871540,https://www.justbooks.fr/search/?keywords=9782876871540&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,666,2,Allegro demonio,666,o,,,,,Glénat BD,1994,Couverture souple,Français,2,3.45 Note moyenne,https://pictures.abebooks.com/isbn/9782876871540-us-300.jpg,"€24,59",NaN
9782723419260,https://www.justbooks.fr/search/?keywords=9782723419260&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,666,3,Demonio fortissimo,666,o,,,,,Zenda,1996,Couverture souple,Français,,3.56 Note moyenne,https://pictures.abebooks.com/isbn/9782723419260-us-300.jpg,"€9,00",NaN
9782723422840,https://www.justbooks.fr/search/?keywords=9782723422840&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,666,4,Lilith imperatrix mundi,666,o,,"Froideval, François; Tacito, Frank",,,Zenda,1997,Couverture souple,Français,,3.60 Note moyenne,https://pictures.abebooks.com/isbn/9782723422840-us-300.jpg,"€10,48",NaN
9782723425513,https://www.justbooks.fr/search/?keywords=9782723425513&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,666,5,Atomik requiem,666,o,,,,,Zenda,1998,Couverture souple,Français,,3.67 Note moyenne,https://pictures.abebooks.com/isbn/9782723425513-us-300.jpg,"€13,10",NaN
9782723428897,https://www.justbooks.fr/search/?keywords=9782723428897&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,666,6,Missa dicta est,666,o,,,,,Zenda,2000,Couverture rigide,Français,,,https://pictures.abebooks.com/isbn/9782723428897-us-300.jpg,,NaN
2840554658,https://www.justbooks.fr/search/?keywords=2840554658&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,7 Secondes,1,Venise,7SECO,o,,MORVAN+PAREL,,,DELCOURT,2004,Couverture souple,français,Hard to Find book,3.20 Note moyenne,https://pictures.abebooks.com/isbn/9782840554653-us-300.jpg,"€15,55",
2840556170,https://www.justbooks.fr/search/?keywords=2840556170&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,7 Secondes,2,Bénavides,7SECO,o,,MORVAN+PAREL,,,DELCOURT,2004,Couverture souple,français,,3.67 Note moyenne,https://pictures.abebooks.com/isbn/9782840556176-us-300.jpg,,
