,Url,Série,Numéro,Title,Cote,Check,Notes Erwan,Author(s),Scénariste,Dessinateur,Editor,Release date,Book format,Language,Summary,Grade,Cover,Estimated price,Bonus data
9782723412162,https://www.justbooks.fr/search/?keywords=9782723412162&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,1,L'autoroute,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1990,Couverture souple,Français,Rare book,4.38 Note moyenne,https://pictures.abebooks.com/isbn/9782723412162-us-300.jpg,"€15,50",NaN
9782723413954,https://www.justbooks.fr/search/?keywords=9782723413954&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,2,Cycle Wars,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1991,Couverture rigide,Français,,4.31 Note moyenne,https://pictures.abebooks.com/isbn/9782723413954-us-300.jpg,"€15,50",NaN
9782723414777,https://www.justbooks.fr/search/?keywords=9782723414777&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,3,Les Chasseurs,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1991,Couverture rigide,Français,,4.29 Note moyenne,https://pictures.abebooks.com/isbn/9782723414777-us-300.jpg,"€18,49",NaN
,,Akira,4,Le réveil,AKIRA,o,MANGA,,,,,,,,,,,,
9782723414906,https://www.justbooks.fr/search/?keywords=9782723414906&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,5,Desespoir,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1992,Couverture rigide,Français,Hard to Find book,4.22 Note moyenne,https://pictures.abebooks.com/isbn/9782723414906-us-300.jpg,"€15,50",NaN
9782723415033,https://www.justbooks.fr/search/?keywords=9782723415033&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,6,Chaos,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1992,Couverture rigide,Français,,4.29 Note moyenne,https://pictures.abebooks.com/isbn/9782723415033-us-300.jpg,"€21,53",NaN
9782723415224,https://www.justbooks.fr/search/?keywords=9782723415224&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,7,Révélations,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1992,Couverture rigide,Français,,4.29 Note moyenne,https://pictures.abebooks.com/isbn/9782723415224-us-300.jpg,"€18,49",NaN
9782723415460,https://www.justbooks.fr/search/?keywords=9782723415460&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,8,Déluge,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1992,Couverture souple,Français,,4.26 Note moyenne,https://pictures.abebooks.com/isbn/9782723415460-us-300.jpg,"€20,22",NaN
9782723415521,https://www.justbooks.fr/search/?keywords=9782723415521&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,9,Visions,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1992,Couverture souple,Français,,4.30 Note moyenne,https://pictures.abebooks.com/isbn/9782723415521-us-300.jpg,,NaN
9782723415743,https://www.justbooks.fr/search/?keywords=9782723415743&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,10,Revanche,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1992,Couverture souple,Français,,4.34 Note moyenne,https://pictures.abebooks.com/isbn/9782723415743-us-300.jpg,"€14,17",NaN
9782723415880,https://www.justbooks.fr/search/?keywords=9782723415880&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,11,Chocs,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1992,Couverture rigide,Français,,4.30 Note moyenne,https://pictures.abebooks.com/isbn/9782723415880-us-300.jpg,,NaN
9782723416894,https://www.justbooks.fr/search/?keywords=9782723416894&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,12,Lumière,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1994,Couverture rigide,Français,,4.30 Note moyenne,https://pictures.abebooks.com/isbn/9782723416894-us-300.jpg,"€25,36",NaN
9782723419055,https://www.justbooks.fr/search/?keywords=9782723419055&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Akira,13,Feux,AKIRA,o,MANGA,"Otomo, Katsuhiro",,,Glénat,1995,Couverture souple,Français,,4.25 Note moyenne,https://pictures.abebooks.com/isbn/9782723419055-us-300.jpg,"€15,50",NaN
9782876952287,https://www.justbooks.fr/search/?keywords=9782876952287&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Appleseed,1,Appleseed - Tome 1,APPLE,o,MANGA,"Shirow, Masamune",,,Glénat,1994,Couverture souple,Français,Rare book,3.95 Note moyenne,https://pictures.abebooks.com/isbn/9782876952287-us-300.jpg,"€13,25",NaN
9782723418478,https://www.justbooks.fr/search/?keywords=9782723418478&currency=EUR&destination=fr&mode=isbn&classic=off&lang=fr&st=sh&ac=qr&submit=,Appleseed,2,Appleseed - Tome 2,APPLE,o,MANGA,"Shirow, Masamune",,,Glénat,1994,Couverture souple,Français,Rare book,4.07 Note moyenne,https://pictures.abebooks.com/isbn/9782723418478-us-300.jpg,,NaN
