,,13 tomes d'Akira
9782731603613,,LE TOUR DES CROCS HISTOIRES DE VAMPIRES ---------- ISBN INTROUVABLE
9782840550334,,Le marchant d'idées glenat --------- REVERIFIER LE NUMERO
9782723404570,,
2205024248,,Les pieds nickelés font fortune hachette ---------- PAS D'ISBN C'EST CONNU
9782902123513,,Porfirio et Gabriel futuropolis REVERIFIER LE TITRE (978-2737653742?)
9782876871229,,un rubis sur les lèvres futuropolis GUESS 978287764082A (ISBN BIZARRE)
2723403661,,Le triangle secret Glénat ---------- VERIFIER LE NUMERO (intégrale???)
9782723408585,,5 tomes Apple seed
272341079X,,TOUS LES BATMA
272341289X,,287261007 isbn pas bon ------- FAUT RETROUVER LE LIVRE QUIL SAGIT FF entre CHIUR et COMPL A PRIORI
2723414124,,
9782908406375,,
9782205022513,,
2203305029,,
220330507X,,
2887640566,,
287137001X,,
2000036873805,,
9782906187429,,
9782876871014,,
9782876870802,,
9782876870703,,
9782226035608,,
9782877642231,,
9782877641463,,
2731600756,,
9782731609448,,
9782203365025,,
9782203365032,,
9782203365049,,
2205007548,,
9782205051292,,
9782205052688,,
9782205053869,,
2906187356,,
2906187305,,
2872650091,,
2872650105,,
2731604174,,
9782756009698,,
2205001345,,
2205001701,,
2205001906,,
2205003364,,
2205006940,,
9782731618846,,
9782723414548,,
9782226031693,,
9782876950801,,
9782205049879,,
9782205054750,,
2850313092,,
9782858150809,,
2724226925,,
9782858150434,,
2858150583,,
9782870970669,,
9782870970683,,
9782870972441,,
9782870972816,,
9782870972922,,
9782205006391,,
2901076045,,
9782800141909,,
9782800107264,,
9782505006930,,
9782505006947,,
9782226152664,,
9791033512424,,
9782723409865,,
9782203338265,,
9782803611003,,
2858150132,,
2731600012,,
9782754802482,,
284055951X,,
9782916207223,,
2205004247,,
9782737653926,,
2203320052,,
2205017780,,
2940329044,,
9782769302188,,
2906794104,,
2876870185,,
9782876870260,,
2876870282,,
2876870312,,
9782756008356,,
9782756019963,,
9782756040363,,
9782756064758,,
9782867260483,,
9782871297574,,
9782505001386,,
9782505004639,,
9782505005803,,
9782756007762,,
2840555727,,
9782877570183,,
9782907763158,,
2908406217,,
9782731609745,,
9782731609752,,
9782731609768,,
9782731609783,,
9782731609790,,
9782731609806,,
9782731610505,,
9782731610970,,
9782731612721,,
9782803625567,,
